prompt_id,case,type,prompt_language,target_language,model,filename
P01,A07,Z,PT,PY,G5,Z-A07-PT-PY-G5.py
P01,A07,Z,PT,PY,C4,Z-A07-PT-PY-C4.py
P01,A07,Z,PT,CS,G5,Z-A07-PT-CS-G5.cs
P01,A07,Z,PT,CS,C4,Z-A07-PT-CS-C4.cs
P02,A07,Z,EN,PY,G5,Z-A07-EN-PY-G5.py
P02,A07,Z,EN,PY,C4,Z-A07-EN-PY-C4.py
P02,A07,Z,EN,CS,G5,Z-A07-EN-CS-G5.cs
P02,A07,Z,EN,CS,C4,Z-A07-EN-CS-C4.cs
P03,A07,F,PT,PY,G5,F-A07-PT-PY-G5.py
P03,A07,F,PT,PY,C4,F-A07-PT-PY-C4.py
P03,A07,F,PT,CS,G5,F-A07-PT-CS-G5.cs
P03,A07,F,PT,CS,C4,F-A07-PT-CS-C4.cs
P04,A07,F,EN,PY,G5,F-A07-EN-PY-G5.py
P04,A07,F,EN,PY,C4,F-A07-EN-PY-C4.py
P04,A07,F,EN,CS,G5,F-A07-EN-CS-G5.cs
P04,A07,F,EN,CS,C4,F-A07-EN-CS-C4.cs
P05,A07,D,PT,PY,G5,D-A07-PT-PY-G5.py
P05,A07,D,PT,PY,C4,D-A07-PT-PY-C4.py
P05,A07,D,PT,CS,G5,D-A07-PT-CS-G5.cs
P05,A07,D,PT,CS,C4,D-A07-PT-CS-C4.cs
P06,A07,D,EN,PY,G5,D-A07-EN-PY-G5.py
P06,A07,D,EN,PY,C4,D-A07-EN-PY-C4.py
P06,A07,D,EN,CS,G5,D-A07-EN-CS-G5.cs
P06,A07,D,EN,CS,C4,D-A07-EN-CS-C4.cs
P07,A07,A,PT,PY,G5,A-A07-PT-PY-G5.py
P07,A07,A,PT,PY,C4,A-A07-PT-PY-C4.py
P07,A07,A,PT,CS,G5,A-A07-PT-CS-G5.cs
P07,A07,A,PT,CS,C4,A-A07-PT-CS-C4.cs
P08,A07,A,EN,PY,G5,A-A07-EN-PY-G5.py
P08,A07,A,EN,PY,C4,A-A07-EN-PY-C4.py
P08,A07,A,EN,CS,G5,A-A07-EN-CS-G5.cs
P08,A07,A,EN,CS,C4,A-A07-EN-CS-C4.cs
P09,A05,Z,PT,PY,G5,Z-A05-PT-PY-G5.py
P09,A05,Z,PT,PY,C4,Z-A05-PT-PY-C4.py
P09,A05,Z,PT,CS,G5,Z-A05-PT-CS-G5.cs
P09,A05,Z,PT,CS,C4,Z-A05-PT-CS-C4.cs
P10,A05,Z,EN,PY,G5,Z-A05-EN-PY-G5.py
P10,A05,Z,EN,PY,C4,Z-A05-EN-PY-C4.py
